> -L"slip_blind"
124.982511699	42.1533502071
124.204691884	41.889061777
123.840936135	41.820186298
123.594052735	41.7254343815
123.244940683	41.4562099616
122.781591651	41.1592757013
122.583659489	40.9837141502
122.140309884	40.6812405122
> -L"slip_blind"
124.976200452	43.3793488113
124.302582857	42.7012044868
123.98187276	42.4346457121
123.751795624	42.2193883762
123.631871038	42.120764377
123.400080123	41.8099070324
123.287429333	41.6652557507

> -L"infer_slip"
122.123535251	40.6629415372
121.872644991	40.4860069138
121.746646798	40.3963163391
121.62258165	40.3077405157
121.49184196	40.1952729065
120.576177447	39.2619698224
120.425606528	39.0645985869
120.394379318	39.004477764
120.203362171	38.5754617418
120.074682448	38.3166037205
119.951310295	38.0425834946
119.52217566	37.127912811
> -L"infer_slip"
120.429697137	39.0706703894
120.288836494	38.8686511564
120.093800569	38.5745092399
119.912141166	38.3111366322
119.679891699	37.9596851539
119.216586873	37.1540798465
